,nama,kategori,lantai
177,Polo,FASHION,1F
153,New Era ,FASHION,1F
41,Casio ,GOODS,1F
42,Charles & Keith ,FASHION,1F
186,Royal Gold,GOODS,1F
51,COWAY,GOODS,1F
54,Daniel Wellington ,GOODS,1F
213,Staccato,FASHION,1F
62,Dparis,GOODS,1F
138,Melissa ,FASHION,1F
69,Et Cetera ,FASHION,1F
70,Everbest,FASHION,1F
71,Executive  ,FASHION,1F
72,Eyes Spice,GOODS,1F
74,Fashion Bazaar,FASHION,1F
75,Fitflop,GOODS,1F
78,Ginza Nail ,SERVICE,1F
80,Giordano,FASHION,1F
188,Samsonite,GOODS,1F
132,Mama Roz,FOOD,1F
130,"Love, Bonito",FASHION,1F
90,H&M,FASHION,1F
94,Havaianas,GOODS,1F
126,Levi's ,FASHION,1F
98,Hush Puppies ,FASHION,1F
125,LEGO,GOODS,1F
123,Laxmi Tailor ,FASHION,1F
192,Saturdays,GOODS,1F
117,Kopi Kenangan,FOOD,1F
114,Koi Cafe ,FOOD,1F
184,Relx,GOODS,1F
223,The Athlete's Foot,FASHION,1F
216,Steve Madden,FASHION,1F
162,Optik Seis ,GOODS,1F
234,UNIQLO ,FASHION,1F
163,Our Daily Dose,FASHION,1F
26,Bioaqua,GOODS,1F
27,Birkenstock ,FASHION,1F
237,Urban Icon ,GOODS,1F
24,Beauty Haul,GOODS,1F
29,Bobo Tokyo,FASHION,1F
161,Optik Melawai ,GOODS,1F
1,AEON BSD CITY Dept Store 1F,FASHION,1F
169,Pedro,FASHION,1F
168,Payless,FASHION,2F
136,Max Fashions,FASHION,2F
202,Smart Hand DIY,ENTERTAINMENT,2F
134,Marco Chop Shop,SERVICE,2F
32,Boss Babe The Label,FASHION,2F
12,Baby Shop,FASHION,2F
233,Umeda,GOODS,2F
84,Gramedia ,GOODS,2F
85,GS Shop ,GOODS,2F
14,Bakmi GM ,FOOD,2F
182,Recipebox,GOODS,2F
235,Urban & Co,FASHION,2F
166,Owndays,FASHION,2F
128,"Lock & Lock with Hello, Bebe ",GOODS,2F
92,Haircode ,SERVICE,2F
93,Hallning,GOODS,2F
180,Puyo,FOOD,2F
95,Headquarters ,SERVICE,2F
6,Alice Style,GOODS,2F
5,AFRO,FASHION,2F
122,Lash Inc ,SERVICE,2F
197,Shortcut Barbershop,SERVICE,2F
193,Scandia,GOODS,2F
2,AEON BSD CITY Dept Store 2F,FASHION,2F
201,Skin+,SERVICE,2F
231,Toys City ,GOODS,2F
111,Kiddycuts ,SERVICE,2F
165,OWL Eyewear,GOODS,2F
38,Buttonscarves,FASHION,2F
152,Nathalie Kids,FASHION,2F
40,Capitano Gelato,FOOD,2F
226,This Is April,FASHION,2F
46,Cindy ,GOODS,2F
148,My Feet,FASHION,2F
147,Mothercare & Early Learning Center,FASHION,2F
49,Colorbox,FASHION,2F
20,Bateeq ,FASHION,2F
52,D'Crepes ,FOOD,2F
53,Daiso Japan ,GOODS,2F
112,Kidz Station ,GOODS,2F
146,Mooimom,FASHION,2F
50,Coolkids,FASHION,2F
144,Minoshe,FASHION,2F
59,Di Bawah Tangga,FOOD,2F
143,Miniso,GOODS,2F
66,Eprise ,FASHION,2F
113,Klik n Klik,GOODS,3F
183,REJUVE ,FOOD,3F
